2020-07-09 18:06:38 status unpacked findutils:armhf 4.6.0+git+20190209-2
2020-07-09 18:06:38 install gcc-8-base:armhf <none> 8.3.0-6
2020-07-09 18:06:38 status half-installed gcc-8-base:armhf 8.3.0-6
2020-07-09 18:06:38 status unpacked gcc-8-base:armhf 8.3.0-6
2020-07-09 18:06:38 install libgcc1:armhf <none> 1:8.3.0-6
2020-07-09 18:06:38 status half-installed libgcc1:armhf 1:8.3.0-6
2020-07-09 18:06:39 status unpacked libgcc1:armhf 1:8.3.0-6
2020-07-09 18:06:39 install libstdc++6:armhf <none> 8.3.0-6
2020-07-09 18:06:39 status half-installed libstdc++6:armhf 8.3.0-6
2020-07-09 18:06:39 status unpacked libstdc++6:armhf 8.3.0-6
2020-07-09 18:06:39 install libc-bin:armhf <none> 2.28-10
2020-07-09 18:06:39 status half-installed libc-bin:armhf 2.28-10
2020-07-09 18:06:40 status unpacked libc-bin:armhf 2.28-10
2020-07-09 18:06:40 upgrade libc6:armhf 2.28-10 2.28-10
2020-07-09 18:06:40 status half-configured libc6:armhf 2.28-10
2020-07-09 18:06:40 status unpacked libc6:armhf 2.28-10
2020-07-09 18:06:40 status half-installed libc6:armhf 2.28-10
2020-07-09 18:06:43 status unpacked libc6:armhf 2.28-10
2020-07-09 18:06:43 install libgmp10:armhf <none> 2:6.1.2+dfsg-4
2020-07-09 18:06:43 status half-installed libgmp10:armhf 2:6.1.2+dfsg-4
2020-07-09 18:06:44 status unpacked libgmp10:armhf 2:6.1.2+dfsg-4
2020-07-09 18:06:44 install gpgv:armhf <none> 2.2.12-1+deb10u1
2020-07-09 18:06:44 status half-installed gpgv:armhf 2.2.12-1+deb10u1
2020-07-09 18:06:44 status unpacked gpgv:armhf 2.2.12-1+deb10u1
2020-07-09 18:06:44 install libgnutls30:armhf <none> 3.6.7-4+deb10u3
2020-07-09 18:06:44 status half-installed libgnutls30:armhf 3.6.7-4+deb10u3
2020-07-09 18:06:45 status unpacked libgnutls30:armhf 3.6.7-4+deb10u3
2020-07-09 18:06:45 install grep:armhf <none> 3.3-1
2020-07-09 18:06:45 status half-installed grep:armhf 3.3-1
2020-07-09 18:06:45 status unpacked grep:armhf 3.3-1
2020-07-09 18:06:46 install gzip:armhf <none> 1.9-3
2020-07-09 18:06:46 status half-installed gzip:armhf 1.9-3
2020-07-09 18:06:46 status unpacked gzip:armhf 1.9-3
2020-07-09 18:06:46 install hostname:armhf <none> 3.21
2020-07-09 18:06:46 status half-installed hostname:armhf 3.21
2020-07-09 18:06:46 status unpacked hostname:armhf 3.21
2020-07-09 18:06:46 install init-system-helpers:all <none> 1.56+nmu1
2020-07-09 18:06:46 status half-installed init-system-helpers:all 1.56+nmu1
2020-07-09 18:06:47 status unpacked init-system-helpers:all 1.56+nmu1
2020-07-09 18:06:47 install libcap-ng0:armhf <none> 0.7.9-2
2020-07-09 18:06:47 status half-installed libcap-ng0:armhf 0.7.9-2
2020-07-09 18:06:47 status unpacked libcap-ng0:armhf 0.7.9-2
2020-07-09 18:06:47 install libffi6:armhf <none> 3.2.1-9
2020-07-09 18:06:47 status half-installed libffi6:armhf 3.2.1-9
2020-07-09 18:06:47 status unpacked libffi6:armhf 3.2.1-9
2020-07-09 18:06:47 install libgcrypt20:armhf <none> 1.8.4-5
2020-07-09 18:06:47 status half-installed libgcrypt20:armhf 1.8.4-5
2020-07-09 18:06:48 status unpacked libgcrypt20:armhf 1.8.4-5
2020-07-09 18:06:48 install libgpg-error0:armhf <none> 1.35-1
2020-07-09 18:06:48 status half-installed libgpg-error0:armhf 1.35-1
2020-07-09 18:06:48 status unpacked libgpg-error0:armhf 1.35-1
2020-07-09 18:06:48 install libidn2-0:armhf <none> 2.0.5-1+deb10u1
2020-07-09 18:06:48 status half-installed libidn2-0:armhf 2.0.5-1+deb10u1
2020-07-09 18:06:48 status unpacked libidn2-0:armhf 2.0.5-1+deb10u1
2020-07-09 18:06:48 install libseccomp2:armhf <none> 2.3.3-4
2020-07-09 18:06:48 status half-installed libseccomp2:armhf 2.3.3-4
2020-07-09 18:06:49 status unpacked libseccomp2:armhf 2.3.3-4
2020-07-09 18:06:49 install libselinux1:armhf <none> 2.8-1+b1
2020-07-09 18:06:49 status half-installed libselinux1:armhf 2.8-1+b1
2020-07-09 18:06:49 status unpacked libselinux1:armhf 2.8-1+b1
2020-07-09 18:06:49 install libsemanage-common:all <none> 2.8-2
2020-07-09 18:06:49 status half-installed libsemanage-common:all 2.8-2
2020-07-09 18:06:49 status unpacked libsemanage-common:all 2.8-2
2020-07-09 18:06:49 install libsemanage1:armhf <none> 2.8-2
2020-07-09 18:06:49 status half-installed libsemanage1:armhf 2.8-2
2020-07-09 18:06:49 status unpacked libsemanage1:armhf 2.8-2
2020-07-09 18:06:49 install libsepol1:armhf <none> 2.8-1
2020-07-09 18:06:49 status half-installed libsepol1:armhf 2.8-1
2020-07-09 18:06:49 status unpacked libsepol1:armhf 2.8-1
2020-07-09 18:06:50 install libtasn1-6:armhf <none> 4.13-3
2020-07-09 18:06:50 status half-installed libtasn1-6:armhf 4.13-3
2020-07-09 18:06:50 status unpacked libtasn1-6:armhf 4.13-3
2020-07-09 18:06:50 install libunistring2:armhf <none> 0.9.10-1
2020-07-09 18:06:50 status half-installed libunistring2:armhf 0.9.10-1
2020-07-09 18:06:50 status unpacked libunistring2:armhf 0.9.10-1
2020-07-09 18:06:50 install libzstd1:armhf <none> 1.3.8+dfsg-3
2020-07-09 18:06:50 status half-installed libzstd1:armhf 1.3.8+dfsg-3
2020-07-09 18:06:50 status unpacked libzstd1:armhf 1.3.8+dfsg-3
2020-07-09 18:06:51 install liblz4-1:armhf <none> 1.8.3-1
2020-07-09 18:06:51 status half-installed liblz4-1:armhf 1.8.3-1
2020-07-09 18:06:51 status unpacked liblz4-1:armhf 1.8.3-1
2020-07-09 18:06:51 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2020-07-09 18:06:51 status half-configured mawk:armhf 1.3.3-17+b3
2020-07-09 18:06:51 status unpacked mawk:armhf 1.3.3-17+b3
2020-07-09 18:06:51 status half-installed mawk:armhf 1.3.3-17+b3
2020-07-09 18:06:51 status unpacked mawk:armhf 1.3.3-17+b3
2020-07-09 18:06:51 install libncursesw6:armhf <none> 6.1+20181013-2+deb10u2
2020-07-09 18:06:51 status half-installed libncursesw6:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:51 status unpacked libncursesw6:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:51 install libtinfo6:armhf <none> 6.1+20181013-2+deb10u2
2020-07-09 18:06:51 status half-installed libtinfo6:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:51 status unpacked libtinfo6:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 install ncurses-bin:armhf <none> 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 status half-installed ncurses-bin:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 status unpacked ncurses-bin:armhf 6.1+20181013-2+deb10u2
2020-07-09 18:06:52 install libhogweed4:armhf <none> 3.4.1-1
2020-07-09 18:06:52 status half-installed libhogweed4:armhf 3.4.1-1
2020-07-09 18:06:53 status unpacked libhogweed4:armhf 3.4.1-1
2020-07-09 18:06:53 install libnettle6:armhf <none> 3.4.1-1
2020-07-09 18:06:53 status half-installed libnettle6:armhf 3.4.1-1
2020-07-09 18:06:53 status unpacked libnettle6:armhf 3.4.1-1
2020-07-09 18:06:53 install libp11-kit0:armhf <none> 0.23.15-2
2020-07-09 18:06:53 status half-installed libp11-kit0:armhf 0.23.15-2
2020-07-09 18:06:53 status unpacked libp11-kit0:armhf 0.23.15-2
2020-07-09 18:06:53 install libpam-modules:armhf <none> 1.3.1-5
2020-07-09 18:06:53 status half-installed libpam-modules:armhf 1.3.1-5
2020-07-09 18:06:54 status unpacked libpam-modules:armhf 1.3.1-5
2020-07-09 18:06:55 install libpam-modules-bin:armhf <none> 1.3.1-5
2020-07-09 18:06:55 status half-installed libpam-modules-bin:armhf 1.3.1-5
2020-07-09 18:06:55 status unpacked libpam-modules-bin:armhf 1.3.1-5
2020-07-09 18:06:55 install libpam-runtime:all <none> 1.3.1-5
2020-07-09 18:06:55 status half-installed libpam-runtime:all 1.3.1-5
2020-07-09 18:06:56 status unpacked libpam-runtime:all 1.3.1-5
2020-07-09 18:06:57 install libpam0g:armhf <none> 1.3.1-5
2020-07-09 18:06:57 status half-installed libpam0g:armhf 1.3.1-5
2020-07-09 18:06:57 status unpacked libpam0g:armhf 1.3.1-5
2020-07-09 18:06:57 install libpcre3:armhf <none> 2:8.39-12
2020-07-09 18:06:57 status half-installed libpcre3:armhf 2:8.39-12
2020-07-09 18:06:57 status unpacked libpcre3:armhf 2:8.39-12
2020-07-09 18:06:57 upgrade perl-base:armhf 5.28.1-6 5.28.1-6
2020-07-09 18:06:57 status half-configured perl-base:armhf 5.28.1-6
2020-07-09 18:06:57 status unpacked perl-base:armhf 5.28.1-6
2020-07-09 18:06:57 status half-installed perl-base:armhf 5.28.1-6
2020-07-09 18:06:59 status unpacked perl-base:armhf 5.28.1-6
2020-07-09 18:06:59 install sed:armhf <none> 4.7-1
2020-07-09 18:06:59 status half-installed sed:armhf 4.7-1
2020-07-09 18:06:59 status unpacked sed:armhf 4.7-1
2020-07-09 18:07:00 install login:armhf <none> 1:4.5-1.1
2020-07-09 18:07:00 status half-installed login:armhf 1:4.5-1.1
2020-07-09 18:07:01 status unpacked login:armhf 1:4.5-1.1
2020-07-09 18:07:02 install passwd:armhf <none> 1:4.5-1.1
2020-07-09 18:07:02 status half-installed passwd:armhf 1:4.5-1.1
